sample,reading,value
12,1,1391
12,2,1397
12,3,1400
12,4,1403
12,5,1406
12,6,1408
12,7,1408
12,8,1409
12,9,1410
12,10,1412
12,11,1412
12,12,1412
12,13,1412
12,14,1415
12,15,1414
12,16,1415
12,17,1408
12,18,1416
12,19,1410
12,20,1411
12,21,1417
12,22,1418
12,23,1410
12,24,1417
12,25,1412
12,26,1419
12,27,1402
12,28,1398
12,29,1410
12,30,1420
12,31,1419
12,32,1421
12,33,1421
12,34,1415
12,35,1420
12,36,1415
12,37,1416
12,38,1415
12,39,1416
12,40,1424
12,41,1423
12,42,1424
12,43,1424
12,44,1418
12,45,1424
12,46,1425
12,47,1419
12,48,1418
12,49,1419
12,50,1426
12,51,1425
12,52,1426
12,53,1425
12,54,1425
12,55,1425
12,56,1419
12,57,1420
12,58,1426
12,59,1418
12,60,1426
12,61,1427
12,62,1420
12,63,1419
12,64,1420
12,65,1426
12,66,1426
12,67,1427
12,68,1428
12,69,1426
12,70,1427
12,71,1415
12,72,1426
12,73,1427
12,74,1427
12,75,1421
12,76,1420
12,77,1420
12,78,1426
12,79,1426
12,80,1420
12,81,1427
12,82,1419
12,83,1427
12,84,1428
12,85,1427
12,86,1428
12,87,1427
12,88,1428
12,89,1419
12,90,1420
12,91,1421
12,92,1428
12,93,1428
12,94,1428
12,95,1420
12,96,1420
12,97,1421
12,98,1428
12,99,1429
12,100,1429
11,1,116932
11,2,117346
11,3,117691
11,4,117875
11,5,118036
11,6,118151
11,7,118243
11,8,118358
11,9,118427
11,10,118519
11,11,118565
11,12,118634
11,13,118680
11,14,118772
11,15,118818
11,16,118864
11,17,118910
11,18,118956
11,19,119002
11,20,119025
11,21,119048
11,22,119071
11,23,119117
11,24,119140
11,25,119209
11,26,119232
11,27,119255
11,28,119278
11,29,119301
11,30,119301
11,31,119324
11,32,119324
11,33,119324
11,34,119324
11,35,119347
11,36,119347
11,37,119347
11,38,119370
11,39,119370
11,40,119393
11,41,119416
11,42,119416
11,43,119439
11,44,119462
11,45,119462
11,46,119462
11,47,119485
11,48,119508
11,49,119531
11,50,119899
11,51,119945
11,52,119853
11,53,119876
11,54,119876
11,55,119899
11,56,119899
11,57,119899
11,58,119922
11,59,119899
11,60,119899
11,61,119922
11,62,119922
11,63,119922
11,64,119922
11,65,119945
11,66,119945
11,67,119945
11,68,119968
11,69,119991
11,70,119991
11,71,119991
11,72,120014
11,73,119991
11,74,119991
11,75,119968
11,76,120014
11,77,120014
11,78,120014
11,79,120060
11,80,120060
11,81,120083
11,82,120060
11,83,120083
11,84,120083
11,85,120083
11,86,120083
11,87,120083
11,88,120083
11,89,120083
11,90,120083
11,91,120083
11,92,120083
11,93,120083
11,94,120083
11,95,120083
11,96,120083
11,97,120106
11,98,120106
11,99,120083
11,100,120106
10,1,26962
10,2,27002
10,3,27026
10,4,27054
10,5,27130
10,6,27142
10,7,27174
10,8,27211
10,9,27253
10,10,27281
10,11,27289
10,12,27296
10,13,27321
10,14,27317
10,15,27303
10,16,27303
10,17,27308
10,18,27311
10,19,27326
10,20,27333
10,21,27337
10,22,27337
10,23,27341
10,24,27337
10,25,27342
10,26,27346
10,27,27356
10,28,27367
10,29,27374
10,30,27382
10,31,27388
10,32,27402
10,33,27407
10,34,27405
10,35,27402
10,36,27401
10,37,27400
10,38,27406
10,39,27409
10,40,27415
10,41,27408
10,42,27412
10,43,27413
10,44,27415
10,45,27422
10,46,27423
10,47,27422
10,48,27432
10,49,27436
10,50,27437
10,51,27438
10,52,27432
10,53,27440
10,54,27445
10,55,27445
10,56,27448
10,57,27452
10,58,27449
10,59,27463
10,60,27463
10,61,27463
10,62,27467
10,63,27460
10,64,27463
10,65,27457
10,66,27454
10,67,27432
10,68,27429
10,69,27425
10,70,27408
10,71,27416
10,72,27414
10,73,27404
10,74,27389
10,75,27392
10,76,27402
10,77,27403
10,78,27414
10,79,27433
10,80,27430
10,81,27421
10,82,27419
10,83,27429
10,84,27429
10,85,27439
10,86,27439
10,87,27435
10,88,27441
10,89,27445
10,90,27445
10,91,27442
10,92,27436
10,93,27436
10,94,27441
10,95,27441
10,96,27442
10,97,27435
10,98,27433
10,99,27440
10,100,27434
9,1,27347
9,2,27125
9,3,26910
9,4,26679
9,5,26444
9,6,26207
9,7,25978
9,8,25767
9,9,25574
9,10,25396
9,11,25232
9,12,25080
9,13,24938
9,14,24806
9,15,24681
9,16,24575
9,17,24470
9,18,24371
9,19,24276
9,20,24186
9,21,24104
9,22,24039
9,23,23972
9,24,23901
9,25,23831
9,26,23776
9,27,23723
9,28,23656
9,29,23590
9,30,23549
9,31,23497
9,32,23448
9,33,23397
9,34,23355
9,35,23309
9,36,23275
9,37,23236
9,38,23199
9,39,23158
9,40,23114
9,41,23077
9,42,23044
9,43,23011
9,44,22986
9,45,22955
9,46,22934
9,47,22899
9,48,22869
9,49,22845
9,50,22815
9,51,22790
9,52,22771
9,53,22737
9,54,22719
9,55,22700
9,56,22677
9,57,22653
9,58,22630
9,59,22609
9,60,22594
9,61,22569
9,62,22558
9,63,22538
9,64,22517
9,65,22491
9,66,22475
9,67,22463
9,68,22444
9,69,22416
9,70,22404
9,71,22390
9,72,22381
9,73,22367
9,74,22354
9,75,22347
9,76,22333
9,77,22319
9,78,22311
9,79,22306
9,80,22287
9,81,22276
9,82,22262
9,83,22245
9,84,22238
9,85,22223
9,86,22213
9,87,22206
9,88,22191
9,89,22178
9,90,22174
9,91,22164
9,92,22154
9,93,22138
9,94,22132
9,95,22125
9,96,22114
9,97,22102
9,98,22092
9,99,22085
9,100,22080
2-6,1,41938
2-6,2,41561
2-6,3,41305
2-6,4,41089
2-6,5,40896
2-6,6,40723
2-6,7,40557
2-6,8,40396
2-6,9,40247
2-6,10,40083
2-6,11,39925
2-6,12,39786
2-6,13,39626
2-6,14,39483
2-6,15,39351
2-6,16,39220
2-6,17,39085
2-6,18,38949
2-6,19,38810
2-6,20,38684
